UBIGEO_HECHO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,COMISARIA,COD_CPNP_LOCAL,LAT,LONG,DEPTO_COMISARIA,PROV_COMISARIA,DIST_COMISARIA,ES_PRINCIPAL,SECTORES
100104,HUANUCO,HUANUCO,CHURUBAMBA,CPNP RANCHO,5904,-9.831072,-76.09419,HUANUCO,HUANUCO,CHURUBAMBA,True,3
100901,HUANUCO,PUERTO INCA,PUERTO INCA,CPNP PUERTO INCA,1732,-9.37882579,-74.96695008,HUANUCO,PUERTO INCA,PUERTO INCA,True,2
110209,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,CPNP TANTARA,3254,-13.07527527,-75.64622848,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,True,3
110104,ICA,ICA,OCUCAJE,CPNP OCUCAJE,5320,-14.34687395,-75.6715948,ICA,ICA,OCUCAJE,True,4
120206,JUNIN,CONCEPCION,COMAS,CPNP COMAS,3032,-11.72257882,-75.08627698,JUNIN,CONCEPCION,COMAS,True,3
120212,JUNIN,CONCEPCION,NUEVE DE JULIO,CPNP CONCEPCION,3050,-11.91878003,-75.31454353,JUNIN,CONCEPCION,NUEVE DE JULIO,True,8
120424,JUNIN,JAUJA,PANCAN,CPNP JAUJA,7815,-11.77796693,-75.4970804,JUNIN,JAUJA,PANCAN,True,14
120432,JUNIN,JAUJA,TUNAN MARCA,CPNP ACOLLA,3043,-11.73505831,-75.54305016,JUNIN,JAUJA,TUNAN MARCA,True,5
120603,JUNIN,SATIPO,LLAYLLA,CPNP MAZAMARI,7594,-11.32821165,-74.52869457,JUNIN,SATIPO,LLAYLLA,True,3
120809,JUNIN,YAULI,SUITUCANCHA,CPNP PACHACAYO,3044,-11.7842781,-75.71752056,JUNIN,YAULI,SUITUCANCHA,True,3
130604,LA LIBERTAD,OTUZCO,CHARAT,CPNP CHARAT,1148,-7.82320096,-78.44832824,LA LIBERTAD,OTUZCO,CHARAT,True,3
130604,LA LIBERTAD,OTUZCO,CHARAT,CPNP CALLANCAS,1154,-7.76637241,-78.4785868,LA LIBERTAD,OTUZCO,CHARAT,False,3
130611,LA LIBERTAD,OTUZCO,SALPO,CPNP SALPO,1167,-8.00264489,-78.59812552,LA LIBERTAD,OTUZCO,SALPO,True,3
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,CPNP CHAGUAL,1287,-7.833162,-77.634778,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,True,3
130908,LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,CPNP VIJUS,1288,-7.72787177,-77.66352929,LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,True,3
131007,LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,CPNP CACHICADAN,1302,-8.09395341,-78.14976394,LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,True,3
160305,LORETO,LORETO,URARINAS,CPNP MAYPUCO,1616,-4.82982448,-75.12068006,LORETO,LORETO,URARINAS,False,3
160510,LORETO,REQUENA,JENARO HERRERA,CPNP GENARO HERRERA,1642,-4.90277408,-73.67160168,LORETO,REQUENA,JENARO HERRERA,True,2
160606,LORETO,UCAYALI,VARGAS GUERRA,CPNP CONTAMANA,1730,-7.34976148,-75.00832957,LORETO,UCAYALI,VARGAS GUERRA,True,3
170303,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,CPNP IBERIA,3675,-11.40534037,-69.48979731,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,True,4
180302,MOQUEGUA,ILO,EL ALGARROBAL,CPNP EL ALGARROBAL,4282,-17.62268926,-71.26838282,MOQUEGUA,ILO,EL ALGARROBAL,True,3
190106,PASCO,PASCO,PALLANCHACRA,CPNP HUARIACA,5614,-10.44494511,-76.18645666,PASCO,PASCO,PALLANCHACRA,True,3
200209,PIURA,AYABACA,SICCHEZ,CPNP SICCHEZ,746,-4.57030661,-79.76424243,PIURA,AYABACA,SICCHEZ,True,3
200111,PIURA,PIURA,LAS LOMAS,CPNP LAS LOMAS,621,-4.65659873,-80.24390865,PIURA,PIURA,LAS LOMAS,True,4
200111,PIURA,PIURA,LAS LOMAS,CPNP CHIPILLICO,622,-4.71969697,-80.13059805,PIURA,PIURA,LAS LOMAS,False,3
210702,PUNO,LAMPA,CABANILLA,CPNP CABANILLA,4581,-15.61970264,-70.34426249,PUNO,LAMPA,CABANILLA,True,2
210106,PUNO,PUNO,CHUCUITO,CPNP CHUCUITO,4514,-15.89484711,-69.88965132,PUNO,PUNO,CHUCUITO,True,3
211001,PUNO,SAN ANTONIO DE PUTINA,PUTINA,CPNP SAN ANTONIO DE PUTINA,4585,-14.91614449,-69.8664436,PUNO,SAN ANTONIO DE PUTINA,PUTINA,True,4
150606,REGION LIMA,HUARAL,IHUARI,CPNP SAYAN,2354,-11.1349415,-77.19260143,REGION LIMA,HUARAL,IHUARI,True,3
150707,REGION LIMA,HUAROCHIRI,HUACHUPAMPA,CPNP SANTA EULALIA,2498,-11.90102557,-76.66402933,REGION LIMA,HUAROCHIRI,HUACHUPAMPA,True,9
150712,REGION LIMA,HUAROCHIRI,LARAOS,CPNP CANTA,1895,-11.46912573,-76.62422879,REGION LIMA,HUAROCHIRI,LARAOS,True,5
150717,REGION LIMA,HUAROCHIRI,SAN BARTOLOME,CPNP SANTA EULALIA,2498,-11.90102557,-76.66402933,REGION LIMA,HUAROCHIRI,SAN BARTOLOME,True,9
150802,REGION LIMA,HUAURA,AMBAR,CPNP AMBAR,2353,-10.75673483,-77.27217148,LIMA,HUAURA,AMBAR,True,2
150809,REGION LIMA,HUAURA,SANTA LEONOR,CPNP CHURIN,2390,-10.81120809,-76.8749929,REGION LIMA,HUAURA,SANTA LEONOR,True,7
150904,REGION LIMA,OYON,COCHAMARCA,CPNP AMBAR,2353,-10.75673483,-77.27217148,REGION LIMA,OYON,COCHAMARCA,True,2
151005,REGION LIMA,YAUYOS,AZANGARO,CPNP HUANGASCAR,2466,-12.89952071,-75.83241637,REGION LIMA,YAUYOS,AZANGARO,True,5
151016,REGION LIMA,YAUYOS,HUANTAN,CPNP YAUYOS,2432,-12.45941379,-75.91894161,REGION LIMA,YAUYOS,HUANTAN,True,10
151019,REGION LIMA,YAUYOS,LINCHA,CPNP HUANGASCAR,2466,-12.89952071,-75.83241637,REGION LIMA,YAUYOS,LINCHA,True,5
220303,SAN MARTIN,EL DORADO,SAN MARTIN,CPNP SAN MARTIN ALAO,1384,-6.51380673,-76.74178058,SAN MARTIN,EL DORADO,SAN MARTIN,True,3
220403,SAN MARTIN,HUALLAGA,EL ESLABON,CPNP SACANCHE,1377,-7.07004351,-76.71357916,SAN MARTIN,HUALLAGA,EL ESLABON,True,3
220709,SAN MARTIN,PICOTA,TINGO DE PONASA,CPNP PICOTA,1389,-6.91893774,-76.33229063,SAN MARTIN,PICOTA,TINGO DE PONASA,True,7
220907,SAN MARTIN,SAN MARTIN,HUIMBAYOC,CPNP PELEJO,1327,-6.21408914,-75.80080774,SAN MARTIN,SAN MARTIN,HUIMBAYOC,True,4
220908,SAN MARTIN,SAN MARTIN,JUAN GUERRA,CPNP SHAPAJA,1335,-6.57813325,-76.26630041,SAN MARTIN,SAN MARTIN,JUAN GUERRA,True,2
220912,SAN MARTIN,SAN MARTIN,SAN ANTONIO,CPNP MORALES,1308,-6.47937892,-76.38290349,SAN MARTIN,SAN MARTIN,SAN ANTONIO,True,6
